"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","173.194.74.189","128.237.255.81","TLSv1.1","108","Application Data"
"2","0.000173","173.194.74.189","128.237.255.81","TLSv1.1","87","Application Data"
"3","0.000344","128.237.255.81","173.194.74.189","TCP","54","48487 > 443 [ACK] Seq=1 Ack=88 Win=11792 Len=0"
"4","0.137867","128.237.255.81","173.194.74.189","TCP","1440","[TCP segment of a reassembled PDU]"
"5","0.137926","128.237.255.81","173.194.74.189","TLSv1.1","492","Application Data"
"6","0.155799","173.194.74.189","128.237.255.81","TCP","60","[TCP Dup ACK 2#1] 443 > 48487 [ACK] Seq=88 Ack=1 Win=63756 Len=0"
"7","0.156358","173.194.74.189","128.237.255.81","TCP","60","443 > 48487 [ACK] Seq=88 Ack=1825 Win=62370 Len=0"
"8","0.309219","173.194.74.189","128.237.255.81","TLSv1.1","105","Application Data"
"9","0.309472","173.194.74.189","128.237.255.81","TLSv1.1","108","Application Data"
"10","0.309562","128.237.255.81","173.194.74.189","TCP","54","48487 > 443 [ACK] Seq=1825 Ack=193 Win=11792 Len=0"
"11","5.681039","173.194.74.189","128.237.255.81","TLSv1.1","108","Application Data"
"12","5.716782","128.237.255.81","173.194.74.189","TCP","54","48487 > 443 [ACK] Seq=1825 Ack=247 Win=11792 Len=0"
"13","5.866926","128.237.255.81","74.125.228.86","TCP","1440","[TCP segment of a reassembled PDU]"
"14","5.866973","128.237.255.81","74.125.228.86","TCP","1440","[TCP segment of a reassembled PDU]"
"15","5.866988","128.237.255.81","74.125.228.86","TLSv1","179","Application Data"
"16","5.878125","74.125.228.86","128.237.255.81","TCP","60","443 > 35096 [ACK] Seq=1 Ack=2898 Win=60859 Len=0"
"17","5.878178","128.237.255.81","74.125.228.86","TLSv1","164","Application Data"
"18","5.928760","74.125.228.86","128.237.255.81","TCP","60","443 > 35096 [ACK] Seq=1 Ack=3008 Win=63756 Len=0"
"19","6.027422","74.125.228.86","128.237.255.81","TLSv1","592","Application Data"
"20","6.027484","128.237.255.81","74.125.228.86","TCP","54","35096 > 443 [ACK] Seq=3008 Ack=539 Win=8608 Len=0"
"21","6.027424","74.125.228.86","128.237.255.81","TLSv1","118","Application Data"
"22","6.027531","128.237.255.81","74.125.228.86","TCP","54","35096 > 443 [ACK] Seq=3008 Ack=603 Win=8608 Len=0"
"23","18.500695","128.237.255.81","91.189.94.4","NTP","90","NTP Version 4, client"
"24","18.582326","91.189.94.4","128.237.255.81","NTP","90","NTP Version 4, server"
"25","24.440682","173.194.74.189","128.237.255.81","TLSv1.1","108","Application Data"
"26","24.440753","128.237.255.81","173.194.74.189","TCP","54","48487 > 443 [ACK] Seq=1825 Ack=301 Win=11792 Len=0"
"27","25.193906","128.237.255.81","199.59.148.147","TCP","58","60921 > 80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460"
"28","25.271255","199.59.148.147","128.237.255.81","TCP","60","80 > 60921 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1386"
"29","25.271331","128.237.255.81","199.59.148.147","TCP","54","60921 > 80 [ACK] Seq=1 Ack=1 Win=5840 Len=0"
"30","25.459005","128.237.255.81","128.2.1.10","DNS","75","Standard query 0x7ff0  A plus.google.com"
"31","25.472236","128.2.1.10","128.237.255.81","DNS","387","Standard query response 0x7ff0  A 74.125.228.70 A 74.125.228.64 A 74.125.228.69 A 74.125.228.66 A 74.125.228.72 A 74.125.228.67 A 74.125.228.68 A 74.125.228.78 A 74.125.228.65 A 74.125.228.71 A 74.125.228.73"
"32","25.472516","128.237.255.81","128.2.1.10","DNS","75","Standard query 0x169a  A plus.google.com"
"33","25.475625","128.2.1.10","128.237.255.81","DNS","387","Standard query response 0x169a  A 74.125.228.64 A 74.125.228.69 A 74.125.228.66 A 74.125.228.72 A 74.125.228.67 A 74.125.228.68 A 74.125.228.78 A 74.125.228.65 A 74.125.228.71 A 74.125.228.73 A 74.125.228.70"
"34","25.476116","128.237.255.81","74.125.228.64","TCP","58","53049 > 443 [SYN] Seq=0 Win=5840 Len=0 MSS=1460"
"35","25.486438","74.125.228.64","128.237.255.81","TCP","60","443 > 53049 [SYN, ACK] Seq=0 Ack=1 Win=62920 Len=0 MSS=1386"
"36","25.486529","128.237.255.81","74.125.228.64","TCP","54","53049 > 443 [ACK] Seq=1 Ack=1 Win=5840 Len=0"
"37","25.487180","128.237.255.81","74.125.228.64","TLSv1.1","244","Client Hello"
"38","25.497671","74.125.228.64","128.237.255.81","TCP","60","443 > 53049 [ACK] Seq=1 Ack=191 Win=63784 Len=0"
"39","25.499824","74.125.228.64","128.237.255.81","TLSv1.1","1440","Server Hello"
"40","25.499859","128.237.255.81","74.125.228.64","TCP","54","53049 > 443 [ACK] Seq=191 Ack=1387 Win=8316 Len=0"
"41","25.501617","74.125.228.64","128.237.255.81","TLSv1.1","1125","Certificate"
"42","25.501681","128.237.255.81","74.125.228.64","TCP","54","53049 > 443 [ACK] Seq=191 Ack=2458 Win=11088 Len=0"
"43","25.598028","128.237.255.81","74.125.228.64","TLSv1.1","348","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"44","25.598493","128.237.255.81","74.125.228.64","TLSv1.1","107","Application Data"
"45","25.599129","128.237.255.81","74.125.228.64","TCP","1440","[TCP segment of a reassembled PDU]"
"46","25.599151","128.237.255.81","74.125.228.64","TLSv1.1","265","Application Data"
"47","25.610572","74.125.228.64","128.237.255.81","TLSv1.1","280","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"48","25.610631","128.237.255.81","74.125.228.64","TLSv1.1","161","Application Data"
"49","25.611746","74.125.228.64","128.237.255.81","TLSv1.1","107","Application Data"
"50","25.646777","128.237.255.81","74.125.228.64","TCP","54","53049 > 443 [ACK] Seq=2242 Ack=2737 Win=13860 Len=0"
"51","25.658437","74.125.228.86","128.237.255.81","TLSv1","108","Application Data"
"52","25.658499","128.237.255.81","74.125.228.86","TCP","54","35096 > 443 [ACK] Seq=3008 Ack=657 Win=8608 Len=0"
"53","25.662809","74.125.228.64","128.237.255.81","TCP","60","443 > 53049 [ACK] Seq=2737 Ack=2242 Win=63756 Len=0"
"54","25.681068","74.125.228.64","128.237.255.81","TLSv1.1","798","Application Data"
"55","25.681124","128.237.255.81","74.125.228.64","TCP","54","53049 > 443 [ACK] Seq=2242 Ack=3481 Win=16632 Len=0"
"56","25.681218","74.125.228.64","128.237.255.81","TLSv1.1","97","Application Data"
"57","25.681392","128.237.255.81","74.125.228.64","TCP","54","53049 > 443 [ACK] Seq=2242 Ack=3524 Win=16632 Len=0"
"58","25.686546","74.125.228.64","128.237.255.81","TLSv1.1","222","Application Data"
"59","25.686609","128.237.255.81","74.125.228.64","TCP","54","53049 > 443 [ACK] Seq=2242 Ack=3692 Win=19404 Len=0"
"60","27.156513","121.168.84.32","128.237.255.81","TCP","54","21494 > 80 [SYN] Seq=0 Win=8192 Len=0"
"61","27.635797","75.214.206.60","128.237.255.81","TCP","54","31015 > 80 [SYN] Seq=0 Win=8192 Len=0"
"62","28.106639","21.241.212.197","128.237.255.81","TCP","54","4157 > 80 [SYN] Seq=0 Win=8192 Len=0"
"63","28.565672","55.53.190.191","128.237.255.81","TCP","54","17119 > 80 [SYN] Seq=0 Win=8192 Len=0"
"64","29.066467","71.113.17.64","128.237.255.81","TCP","54","24332 > 80 [SYN] Seq=0 Win=8192 Len=0"
"65","29.536452","120.130.138.152","128.237.255.81","TCP","54","54512 > 80 [SYN] Seq=0 Win=8192 Len=0"
"66","30.028849","171.128.49.99","128.237.255.81","TCP","54","48005 > 80 [SYN] Seq=0 Win=8192 Len=0"
"67","30.271824","128.237.255.81","199.59.148.147","TCP","54","60921 > 80 [FIN, ACK] Seq=1 Ack=1 Win=5840 Len=0"
"68","30.448440","199.59.148.147","128.237.255.81","TCP","60","80 > 60921 [FIN, ACK] Seq=1 Ack=2 Win=14600 Len=0"
"69","30.448504","128.237.255.81","199.59.148.147","TCP","54","60921 > 80 [ACK] Seq=2 Ack=2 Win=5840 Len=0"
"70","30.509212","104.220.68.36","128.237.255.81","TCP","54","19569 > 80 [SYN] Seq=0 Win=8192 Len=0"
"71","30.989097","241.210.41.46","128.237.255.81","TCP","54","62595 > 80 [SYN] Seq=0 Win=8192 Len=0"
"72","31.489152","33.24.97.48","128.237.255.81","TCP","54","9706 > 80 [SYN] Seq=0 Win=8192 Len=0"
"73","31.995642","115.99.66.210","128.237.255.81","TCP","54","24042 > 80 [SYN] Seq=0 Win=8192 Len=0"
"74","32.486570","154.29.81.178","128.237.255.81","TCP","54","10217 > 80 [SYN] Seq=0 Win=8192 Len=0"
"75","32.958888","69.232.82.51","128.237.255.81","TCP","54","40278 > 80 [SYN] Seq=0 Win=8192 Len=0"
"76","33.439092","234.183.31.38","128.237.255.81","TCP","54","30258 > 80 [SYN] Seq=0 Win=8192 Len=0"
"77","33.729204","173.194.74.189","128.237.255.81","TLSv1.1","108","Application Data"
"78","33.729263","128.237.255.81","173.194.74.189","TCP","54","48487 > 443 [ACK] Seq=1825 Ack=355 Win=11792 Len=0"
"79","33.729372","173.194.74.189","128.237.255.81","TLSv1.1","87","Application Data"
"80","33.729392","128.237.255.81","173.194.74.189","TCP","54","48487 > 443 [ACK] Seq=1825 Ack=388 Win=11792 Len=0"
"81","33.738698","128.237.255.81","173.194.74.189","TCP","1440","[TCP segment of a reassembled PDU]"
"82","33.738762","128.237.255.81","173.194.74.189","TLSv1.1","911","Application Data"
"83","33.854130","173.194.74.189","128.237.255.81","TCP","60","443 > 48487 [ACK] Seq=388 Ack=3211 Win=63756 Len=0"
"84","33.854387","173.194.74.189","128.237.255.81","TCP","60","443 > 48487 [ACK] Seq=388 Ack=4068 Win=63756 Len=0"
"85","33.919036","102.146.88.253","128.237.255.81","TCP","54","31381 > 80 [SYN] Seq=0 Win=8192 Len=0"
"86","33.949752","173.194.74.189","128.237.255.81","TLSv1.1","579","Application Data"
"87","33.950006","173.194.74.189","128.237.255.81","TLSv1.1","108","Application Data"
"88","33.950051","128.237.255.81","173.194.74.189","TCP","54","48487 > 443 [ACK] Seq=4068 Ack=967 Win=12864 Len=0"
"89","34.398894","196.132.138.81","128.237.255.81","TCP","54","63473 > 80 [SYN] Seq=0 Win=8192 Len=0"
"90","34.559191","128.237.255.81","74.125.228.67","TLSv1","91","Application Data"
"91","34.668699","74.125.228.67","128.237.255.81","TLSv1","91","Application Data"
"92","34.668760","128.237.255.81","74.125.228.67","TCP","54","32802 > 443 [ACK] Seq=38 Ack=38 Win=38808 Len=0"
"93","34.859105","63.193.172.89","128.237.255.81","TCP","54","27265 > 80 [SYN] Seq=0 Win=8192 Len=0"
"94","35.346444","16.6.74.206","128.237.255.81","TCP","54","62271 > 80 [SYN] Seq=0 Win=8192 Len=0"
"95","35.826348","94.148.118.202","128.237.255.81","TCP","54","62716 > 80 [SYN] Seq=0 Win=8192 Len=0"
"96","36.289107","160.116.210.243","128.237.255.81","TCP","54","29713 > 80 [SYN] Seq=0 Win=8192 Len=0"
"97","36.766348","248.237.9.18","128.237.255.81","TCP","54","60514 > 80 [SYN] Seq=0 Win=8192 Len=0"
"98","37.248876","161.147.211.153","128.237.255.81","TCP","54","32190 > 80 [SYN] Seq=0 Win=8192 Len=0"
"99","37.718929","207.137.67.221","128.237.255.81","TCP","54","59744 > 80 [SYN] Seq=0 Win=8192 Len=0"
"100","38.206645","229.61.253.52","128.237.255.81","TCP","54","26604 > 80 [SYN] Seq=0 Win=8192 Len=0"
"101","38.686436","180.70.211.154","128.237.255.81","TCP","54","7399 > 80 [SYN] Seq=0 Win=8192 Len=0"
"102","39.158123","132.214.137.24","128.237.255.81","TCP","54","55150 > 80 [SYN] Seq=0 Win=8192 Len=0"
"103","39.626382","132.42.241.177","128.237.255.81","TCP","54","9543 > 80 [SYN] Seq=0 Win=8192 Len=0"
"104","40.086627","65.248.11.247","128.237.255.81","TCP","54","50482 > 80 [SYN] Seq=0 Win=8192 Len=0"
"105","40.566358","49.201.237.5","128.237.255.81","TCP","54","37245 > 80 [SYN] Seq=0 Win=8192 Len=0"
"106","41.025807","51.145.58.158","128.237.255.81","TCP","54","26410 > 80 [SYN] Seq=0 Win=8192 Len=0"
"107","41.401254","128.237.255.81","74.125.228.67","TCP","1440","[TCP segment of a reassembled PDU]"
"108","41.401310","128.237.255.81","74.125.228.67","TLSv1","821","Application Data"
"109","41.401391","128.237.255.81","74.125.228.67","TLSv1","161","Application Data"
"110","41.510119","74.125.228.67","128.237.255.81","TCP","60","443 > 32802 [ACK] Seq=38 Ack=2298 Win=61496 Len=0"
"111","41.572160","74.125.228.67","128.237.255.81","TLSv1","118","Application Data"
"112","41.572228","128.237.255.81","74.125.228.67","TCP","54","32802 > 443 [ACK] Seq=2298 Ack=102 Win=38808 Len=0"
"113","41.572371","74.125.228.67","128.237.255.81","TLSv1","97","Application Data"
"114","41.572409","128.237.255.81","74.125.228.67","TCP","54","32802 > 443 [ACK] Seq=2298 Ack=145 Win=38808 Len=0"
"115","41.575420","74.125.228.67","128.237.255.81","TLSv1","220","Application Data"
"116","41.575471","128.237.255.81","74.125.228.67","TCP","54","32802 > 443 [ACK] Seq=2298 Ack=311 Win=41580 Len=0"
"117","49.277584","173.194.74.189","128.237.255.81","TLSv1.1","108","Application Data"
"118","49.277813","173.194.74.189","128.237.255.81","TLSv1.1","87","Application Data"
"119","49.277907","128.237.255.81","173.194.74.189","TCP","54","48487 > 443 [ACK] Seq=4068 Ack=1054 Win=12864 Len=0"
"120","49.285399","128.237.255.81","173.194.74.189","TCP","1440","[TCP segment of a reassembled PDU]"
"121","49.285497","128.237.255.81","173.194.74.189","TLSv1.1","492","Application Data"
"122","49.303455","173.194.74.189","128.237.255.81","TCP","60","443 > 48487 [ACK] Seq=1054 Ack=5454 Win=63756 Len=0"
"123","49.303711","173.194.74.189","128.237.255.81","TCP","60","443 > 48487 [ACK] Seq=1054 Ack=5892 Win=63756 Len=0"
"124","49.390379","173.194.74.189","128.237.255.81","TLSv1.1","107","Application Data"
"125","49.391702","173.194.74.189","128.237.255.81","TLSv1.1","108","Application Data"
"126","49.392005","128.237.255.81","173.194.74.189","TCP","54","48487 > 443 [ACK] Seq=5892 Ack=1161 Win=12864 Len=0"
"127","50.367977","74.125.228.86","128.237.255.81","TLSv1","108","Application Data"
"128","50.368045","128.237.255.81","74.125.228.86","TCP","54","35096 > 443 [ACK] Seq=3008 Ack=711 Win=8608 Len=0"
"129","50.368193","74.125.228.86","128.237.255.81","TLSv1","87","Application Data"
"130","50.368235","128.237.255.81","74.125.228.86","TCP","54","35096 > 443 [ACK] Seq=3008 Ack=744 Win=8608 Len=0"
"131","50.383737","128.237.255.81","74.125.228.86","TCP","1440","[TCP segment of a reassembled PDU]"
"132","50.383793","128.237.255.81","74.125.228.86","TLSv1","1437","Application Data"
"133","50.394481","74.125.228.86","128.237.255.81","TCP","60","443 > 35096 [ACK] Seq=744 Ack=5777 Win=60987 Len=0"
"134","50.503637","74.125.228.86","128.237.255.81","TLSv1","108","Application Data"
"135","50.503785","74.125.228.86","128.237.255.81","TLSv1","108","Application Data"
"136","50.503925","128.237.255.81","74.125.228.86","TCP","54","35096 > 443 [ACK] Seq=5777 Ack=852 Win=8608 Len=0"
"137","55.198575","128.237.255.81","199.59.148.147","TCP","58","60926 > 80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460"
"138","55.279912","199.59.148.147","128.237.255.81","TCP","60","80 > 60926 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1386"
"139","55.279984","128.237.255.81","199.59.148.147","TCP","54","60926 > 80 [ACK] Seq=1 Ack=1 Win=5840 Len=0"
"140","55.280124","128.237.255.81","199.59.148.147","HTTP","586","GET /widgets/timelines/paged/299009677822402560?domain=picoctf.com&lang=en&since_id=326724452970807296&callback=twttr.tfw.callbacks.tlPoll_299009677822402560_326724452970807296&suppress_response_codes=true HTTP/1.1 "
"141","55.359553","199.59.148.147","128.237.255.81","TCP","60","80 > 60926 [ACK] Seq=1 Ack=533 Win=15544 Len=0"
"142","55.363568","199.59.148.147","128.237.255.81","TCP","445","[TCP segment of a reassembled PDU]"
"143","55.363609","128.237.255.81","199.59.148.147","TCP","54","60926 > 80 [ACK] Seq=533 Ack=392 Win=6432 Len=0"
"144","55.363721","199.59.148.147","128.237.255.81","HTTP","261","HTTP/1.1 200 OK  (application/javascript)"
"145","55.363752","128.237.255.81","199.59.148.147","TCP","54","60926 > 80 [ACK] Seq=533 Ack=599 Win=7504 Len=0"
